# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
kaarovaar	कारोवार
kaarovar	कारोवार
kaarpeT	कार्पेट
kaarpet	कार्पेट
kaartik	कार्तिक
kaarttik	कार्त्तिक
kaartun	कार्टुन
kaaruNik	कारुणिक
kaarunik	कारुणिक
kaary	कार्य
kaaryaalay	कार्यालय
kaaryaanvayan	कार्यान्वयन
kaaryabhaar	कार्यभार
kaaryabhar	कार्यभार
kaaryadal	कार्यदल
kaaryagat	कार्यगत
kaaryakShamataa	कार्यक्षमता
kaaryakShetr	कार्यक्षेत्र
kaaryakaal	कार्यकाल
kaaryakaari	कार्यकारी
kaaryakaariNii	कार्यकारिणी
kaaryakaarii	कार्यकारी
kaaryakaarini	कार्यकारिणी
kaaryakaarinii	कार्यकारिणी
kaaryakakSh	कार्यकक्ष
kaaryakaksh	कार्यकक्ष
kaaryakal	कार्यकाल
kaaryakalaap	कार्यकलाप
kaaryakalap	कार्यकलाप
kaaryakari	कार्यकारी
kaaryakarii	कार्यकारी
kaaryakarini	कार्यकारिणी
kaaryakarinii	कार्यकारिणी
kaaryakarta	कार्यकर्ता
kaaryakartaa	कार्यकर्ता
kaaryakram	कार्यक्रम
kaaryakshamata	कार्यक्षमता
kaaryakshamataa	कार्यक्षमता
kaaryakshetr	कार्यक्षेत्र
kaaryakushalata	कार्यकुशलता
kaaryakushalataa	कार्यकुशलता
kaaryalay	कार्यालय
kaaryaniiti	कार्यनीति
kaaryaniitik	कार्यनीतिक
kaaryaniti	कार्यनीति
kaaryanitik	कार्यनीतिक
kaaryanvayan	कार्यान्वयन
kaaryapatr	कार्यपत्र
kaaryarat	कार्यरत
kaaryasamiti	कार्यसमिति
kaaryasampaadan	कार्यसम्पादन
kaaryasampadan	कार्यसम्पादन
kaaryashaala	कार्यशाला
kaaryashaalaa	कार्यशाला
kaaryashaili	कार्यशैली
kaaryashailii	कार्यशैली
kaaryashala	कार्यशाला
kaaryashalaa	कार्यशाला
kaaryasuchi	कार्यसूची
kaaryasuchii	कार्यसूची
kaaryasuuchi	कार्यसूची
kaaryasuuchii	कार्यसूची
kaaryavaahak	कार्यवाहक
kaaryavahak	कार्यवाहक
kaaryavidhi	कार्यविधि
kaas	काँस
kaashth	काष्ठ
kaata	काँटा
kaataa	काँटा
kaatar	काँतर
kaatchh	काट्छ
kaatda	काट्दा
kaatdaa	काट्दा
kaatdai	काट्दै
kaate	काटे
kaateko	काटेको
kaath	काठ
kaathamaadaun	काठमाडौं
kaathamadaun	काठमाडौं
kaathi	काठी
kaathii	काठी
kaati	काँटी
kaatii	काँटी
kaatne	काट्ने
kaatnu	काट्नु
kaatro	कात्रो
kaattik	कात्तिक
kaatyo	काट्यो
kaaukuti	काउकुती
kaaukutii	काउकुती
kaauli	काउली
kaaulii	काउली
kaaunTar	काउन्टर
kaaunsil	काउन्सिल
kaauntar	काउन्टर
kaava	कावा
kaavaa	कावा
kaavy	काव्य
kaavyaatmak	काव्यात्मक
kaavyadhaara	काव्यधारा
kaavyadhaaraa	काव्यधारा
kaavyadhara	काव्यधारा
kaavyadharaa	काव्यधारा
kaavyashaastr	काव्यशास्त्र
kaavyashastr	काव्यशास्त्र
kaavyatmak	काव्यात्मक
kaavyik	काव्यिक
kaaya	काया
kaayaa	काया
kaayaakalp	कायाकल्प
kaayakalp	कायाकल्प
kaayal	कायल
kaayam	कायम
kaayamamukaayam	कायममुकायम
kaayamamukayam	कायममुकायम
kaayar	कायर
kaa~Do	काँडो
kaa~Nali~N	काङलिङ
kaa~Ngresii	काङ्ग्रेसी
kaa~Taa	काँटा
kaa~Tii	काँटी
kaa~ch	काँच
kaa~cho	काँचो
kaa~chulii	काँचुली
kaa~dh	काँध
kaa~gres	काँग्रेस
kaa~kro	काँक्रो
kaa~s	काँस
kaa~tar	काँतर
kabhar	कभर
kabja	कब्जा
kabjaa	कब्जा
kabjiyat	कब्जियत
kabu	काबु
kabul	कबुल
kach	काँच
kachahari	कचहरी
kachaharii	कचहरी
kachakach	कचकच
kachaura	कचौरा
kachauraa	कचौरा
kachcha	कच्चा
kachchaa	कच्चा
kachchaapadaarth	कच्चापदार्थ
kachchaapadarth	कच्चापदार्थ
kachchapadaarth	कच्चापदार्थ
kachchapadarth	कच्चापदार्थ
kachchi	कच्ची
kachchii	कच्ची
kachhaaD	कछाड
kachhaad	कछाड
kachhad	कछाड
kachhuva	कछुवा
kachhuvaa	कछुवा
kachila	कचिला
kachilaa	कचिला
kacho	काँचो
kachuli	काँचुली
kachulii	काँचुली
kad	कद
kada	कडा
kadaa	कडा
kadaachit	कदाचित
kadaai	कडाइ
kadaapi	कदापि
kadachit	कदाचित
kadai	कडाइ
kadam	कदम
kadapi	कदापि
kadar	कदर
kadh	काँध
kadi	कडी
kadii	कडी
kadkidai	कड्किँदै
kadkie	कड्किए
kadkieko	कड्किएको
kadkinchh	कड्किन्छ
kadkine	कड्किने
kadkinu	कड्किनु
kadkiyo	कड्कियो
kado	काँडो
kag	काग
kagaj	कागज
kagajaat	कागजात
kagajapatr	कागजपत्र
kagajat	कागजात
kagaji	कागजी
kagajii	कागजी
kagat	कागत
kagati	कागती
kagatii	कागती
kagres	काँग्रेस
kaha	कहाँ
kahaa	कहाँ
kahaali	कहाली
kahaalii	कहाली
kahaani	कहानी
kahaanii	कहानी
kahaavat	कहावत
kahaa~	कहाँ
kahali	कहाली
kahalii	कहाली
kahani	कहानी
kahanii	कहानी
kahavat	कहावत
kahi	कहीँ
kahii	कहीँ
kahii~	कहीँ
kahile	कहिले
kahilyai	कहिल्यै
kaiMchii	कैंची
kaid	कैद
kaida	काइदा
kaidaa	काइदा
kaidi	कैदी
kaidii	कैदी
kaila	काइँला
kailaa	काइँला
kailo	कैलो
kainchi	कैंची
kainchii	कैंची
kaiphiyat	कैफियत
kaite	काइते
kaiyan	कैयन
kaiyau	कैयौँ
kaiyau~	कैयौँ
kaj	काज
kaji	काजी
kajii	काजी
kaju	काजु
kajyaae	कज्याए
kajyaaeko	कज्याएको
kajyaauchh	कज्याउँछ
kajyaaudai	कज्याउँदै
kajyaaune	कज्याउने
kajyaaunu	कज्याउनु
kajyaau~chh	कज्याउँछ
kajyaau~dai	कज्याउँदै
kajyaayo	कज्यायो
kajyae	कज्याए
kajyaeko	कज्याएको
kajyauchh	कज्याउँछ
kajyaudai	कज्याउँदै
kajyaune	कज्याउने
kajyaunu	कज्याउनु
kajyayo	कज्यायो
kakSh	कक्ष
kakShaa	कक्षा
kakShaakoThaa	कक्षाकोठा
kaka	काका
kakaa	काका
kakaakul	काकाकुल
kakakul	काकाकुल
kakataali	काकताली
kakataalii	काकताली
kakatali	काकताली
kakatalii	काकताली
kakh	काख
kakha	काखा
kakhaa	काखा
kakhi	काखी
kakhii	काखी
kakro	काँक्रो
kaksh	कक्ष
kaksha	कक्षा
kakshaa	कक्षा
kakshaakotha	कक्षाकोठा
kakshaakothaa	कक्षाकोठा
kakshakotha	कक्षाकोठा
kakshakothaa	कक्षाकोठा
kal	कल
kal	काल
kala	कला
kalaa	कला
kalaajvar	कालाज्वर
kalaakRRiti	कलाकृति
kalaakaarita	कलाकारिता
kalaakaaritaa	कलाकारिता
kalaakarita	कलाकारिता
kalaakaritaa	कलाकारिता
kalaakriti	कलाकृति
kalaantar	कालान्तर
kalaatmak	कलात्मक
kalaatmakata	कलात्मकता
kalaatmakataa	कलात्मकता
kalah	कलह
kalajayi	कालजयी
kalajayii	कालजयी
kalajvar	कालाज्वर
kalakaarita	कलाकारिता
kalakaaritaa	कलाकारिता
kalakal	कलकल
kalakarita	कलाकारिता
kalakaritaa	कलाकारिता
kalakhand	कालखण्ड
kalakriti	कलाकृति
kalam	कलम
kalank	कलङ्क
kalantar	कालान्तर
kalar	कलर
kalarav	कलरव
kalash	कलश
kalatmak	कलात्मक
kalatmakata	कलात्मकता
kalatmakataa	कलात्मकता
kala~Nk	कलङ्क
kalchar	कल्चर
kalej	कलेज
kalejo	कलेजो
kalevar	कलेवर
kalilo	कलिलो
kaliyug	कलियुग
kalli	कल्ली
kallii	कल्ली
kalo	कालो
kalopatre	कालोपत्रे
kalosuchi	कालोसूची
kalosuchii	कालोसूची
kalosuuchi	कालोसूची
kalosuuchii	कालोसूची
kalp	कल्प
kalpana	कल्पना
kalpanaa	कल्पना
kalpanik	काल्पनिक
kaluShit	कलुषित
kalushit	कलुषित
kalyaaN	कल्याण
kalyaaNakaarii	कल्याणकारी
kalyaan	कल्याण
kalyaanakaari	कल्याणकारी
kalyaanakaarii	कल्याणकारी
kalyaanakari	कल्याणकारी
kalyaanakarii	कल्याणकारी
kalyan	कल्याण
kalyanakaari	कल्याणकारी
kalyanakaarii	कल्याणकारी
kalyanakari	कल्याणकारी
kalyanakarii	कल्याणकारी
kam	कम
kam	काम
kamaNDalu	कमण्डलु
kamaaND	कमाण्ड
kamaaNDar	कमाण्डर
kamaaNDo	कमाण्डो
kamaae	कमाए
kamaaeko	कमाएको
kamaai	कमाइ
kamaal	कमाल
kamaanDar	कमान्डर
kamaand	कमाण्ड
kamaandar	कमाण्डर
kamaandar	कमान्डर
kamaando	कमाण्डो
kamaauchh	कमाउँछ
kamaaudai	कमाउँदै
kamaaune	कमाउने
kamaaunu	कमाउनु
kamaau~chh	कमाउँछ
kamaau~dai	कमाउँदै
kamaayo	कमायो
kamadaar	कामदार
kamadar	कामदार
kamae	कमाए
kamaeko	कमाएको
kamai	कमाइ
kamaiya	कमैया
kamaiyaa	कमैया
kamajor	कमजोर
kamajori	कमजोरी
kamajorii	कमजोरी
kamakaaj	कामकाज
kamakaarabaahi	कामकारबाही
kamakaarabaahii	कामकारबाही
kamakaarabahi	कामकारबाही
kamakaarabahii	कामकारबाही
kamakaj	कामकाज
kamakarabaahi	कामकारबाही
kamakarabaahii	कामकारबाही
kamakarabahi	कामकारबाही
kamakarabahii	कामकारबाही
kamakura	कामकुरा
kamakuraa	कामकुरा
kamal	कमल
kamal	कमाल
kamalapitt	कमलपित्त
kamalo	कमलो
kamana	कामना
kamanaa	कामना
kamand	कमाण्ड
kamandalu	कमण्डलु
kamandar	कमाण्डर
kamandar	कमान्डर
kamando	कमाण्डो
kamareD	कमरेड
kamared	कमरेड
kamars	कमर्स
kamasal	कमसल
kamasekam	कमसेकम
kamat	कामत
kamauchh	कमाउँछ
kamaudai	कमाउँदै
kamaune	कमाउने
kamaunu	कमाउनु
kamavaasana	कामवासना
kamavaasanaa	कामवासना
kamavasana	कामवासना
kamavasanaa	कामवासना
kamayaav	कामयाव
kamayav	कामयाव
kamayo	कमायो
kambal	कम्बल
kamchh	काम्छ
kamda	काम्दा
kamdaa	काम्दा
kamdai	काम्दै
kame	कामे
kameko	कामेको
kamero	कमेरो
kami	कामी
kamiTii	कमिटी
kamii	कामी
kamiikamajori	कमीकमजोरी
kamiikamajorii	कमीकमजोरी
kamij	कमिज
kamikamajori	कमीकमजोरी
kamikamajorii	कमीकमजोरी
kamila	कमिला
kamilaa	कमिला
kamisan	कमिसन
kamiti	कमिटी
kamitii	कमिटी
kammar	कम्मर
kamne	काम्ने
kamnu	काम्नु
kampaauND	कम्पाउण्ड
kampaaunD	कम्पाउन्ड
kampaaunDar	कम्पाउन्डर
kampaaund	कम्पाउण्ड
kampaaund	कम्पाउन्ड
kampaaundar	कम्पाउन्डर
kampan	कम्पन
kampani	कम्पनी
kampanii	कम्पनी
kampaund	कम्पाउण्ड
kampaund	कम्पाउन्ड
kampaundar	कम्पाउन्डर
kampleks	कम्प्लेक्स
kampyuTar	कम्प्युटर
kampyutar	कम्प्युटर
kamti	कम्ती
kamtii	कम्ती
kamu	कामु
kamuk	कामुक
kamyo	काम्यो
kamyunijm	कम्युनिज्म
kamyunisT	कम्युनिस्ट
kamyunist	कम्युनिस्ट
kan	कण
kan	कान
kanDakTar	कन्डक्टर
kanDam	कन्डम
kanTenar	कन्टेनर
kanTrol	कन्ट्रोल
kanalin	काङलिङ
kanbhensan	कन्भेन्सन
kanchaT	कन्चट
kanchan	कञ्चन
kanchat	कन्चट
kanchho	कान्छो
kand	काण्ड
kandaktar	कन्डक्टर
kandam	कन्डम
kandamul	कन्दमूल
kandamuul	कन्दमूल
kandara	कन्दरा
kandaraa	कन्दरा
kanekhusi	कानेखुसी
kanekhusii	कानेखुसी
kangaal	कङ्गाल
kangal	कङ्गाल
kango	कङ्गो
kangresi	काङ्ग्रेसी
kangresii	काङ्ग्रेसी
kaniShTh	कनिष्ठ
kanika	कनिका
kanikaa	कनिका
kanishth	कनिष्ठ
kankaal	कङ्काल
kankal	कङ्काल
kanlo	कान्लो
kano	कानो
kanpharens	कन्फरेन्स
kansarT	कन्सर्ट
kansart	कन्सर्ट
kansepT	कन्सेप्ट
kansept	कन्सेप्ट
kansy	कांस्य
kantak	कण्टक
kantenar	कन्टेनर
kanth	कण्ठ
kanti	कान्ति
kantrol	कन्ट्रोल
kantur	कन्तुर
kanun	कानुन
kanunatah	कानूनतः
kanuni	कानुनी
kanunii	कानुनी
kanuunatah	कानूनतः
kanya	कन्या
kanyaa	कन्या
kanyaadaan	कन्यादान
kanyaadan	कन्यादान
kanyadaan	कन्यादान
kanyadan	कन्यादान
kap	कप
kap	काप
kapaDaa	कपडा
kapaT	कपट
kapaakap	कपाकप
kapaal	कपाल
kapaas	कपास
kapada	कपडा
kapadaa	कपडा
kapakap	कपाकप
kapal	कपाल
kapardi	कपर्दी
kapardii	कपर्दी
kapas	कपास
kapat	कपट
kaph	कफ
kaphal	काफल
kaphi	कफी
kaphi	काफी
kaphii	कफी
kaphii	काफी
kapi	कपी
kapi	कापी
kapii	कपी
kapii	कापी
kapolakalpit	कपोलकल्पित
kaptaan	कप्तान
kaptan	कप्तान
kar	कर
kar	कार
karDales	कर्डलेस
karNadhaar	कर्णधार
karNel	कर्णेल
karaN	करण
karaNii	करणी
karaagaar	कारागार
karaagar	कारागार
karaahi	कराही
karaahii	कराही
karaamat	करामत
karaar	करार
karaate	कराते
karaavaas	कारावास
karaavas	कारावास
karabaahi	कारबाही
karabaahii	कारबाही
karabahi	कारबाही
karabahii	कारबाही
karadaata	करदाता
karadaataa	करदाता
karadata	करदाता
karadataa	करदाता
karagaar	कारागार
karagar	कारागार
karahi	कराही
karahii	कराही
karak	कारक
karakhaana	कारखाना
karakhaanaa	कारखाना
karakhana	कारखाना
karakhanaa	कारखाना
karamat	करामत
karan	करङ
karan	करण
karan	कारण
karanavash	कारणवश
karani	करणी
karani	करनी
karanii	करणी
karanii	करनी
karar	करार
karate	कराते
karatut	करतुत
karauti	करौँती
karautii	करौँती
karau~tii	करौँती
karavaas	कारावास
karavas	कारावास
kara~N	करङ
karban	कार्बन
karbohaaidret	कार्बोहाइड्रेट
karbohaidret	कार्बोहाइड्रेट
kard	कर्द
kard	कार्ड
kardales	कर्डलेस
karela	करेला
karelaa	करेला
karenT	करेन्ट
karent	करेन्ट
kargo	कार्गो
karib	करिब
karigar	कारिगर
karinda	कारिन्दा
karindaa	कारिन्दा
karja	कर्जा
karjaa	कर्जा
karke	कर्के
karkha	कर्खा
karkhaa	कर्खा
karm	कर्म
karmaTh	कर्मठ
karmachaari	कर्मचारी
karmachaarii	कर्मचारी
karmachaariitantr	कर्मचारीतन्त्र
karmachaaritantr	कर्मचारीतन्त्र
karmachari	कर्मचारी
karmacharii	कर्मचारी
karmachariitantr	कर्मचारीतन्त्र
karmacharitantr	कर्मचारीतन्त्र
karmakaaND	कर्मकाण्ड
karmakaand	कर्मकाण्ड
karmakand	कर्मकाण्ड
karmath	कर्मठ
karmathalo	कर्मथलो
karmi	कर्मी
karmii	कर्मी
karnaal	कर्नाल
karnadhaar	कर्णधार
karnadhar	कर्णधार
karnal	कर्नाल
karnar	कर्नर
karnel	कर्णेल
karoD	करोड
karoDauM	करोडौं
karobaar	कारोबार
karobar	कारोबार
karod	करोड
karodaun	करोडौं
karovaar	कारोवार
karovar	कारोवार
karpet	कार्पेट
karphyu	कर्फ्यु
karporeshan	कर्पोरेशन
karta	कर्ता
kartaa	कर्ता
kartavy	कर्तव्य
kartik	कार्तिक
karttik	कार्त्तिक
kartun	कार्टुन
kartut	कर्तुत
karuN	करुण
karuNaa	करुणा
karun	करुण
karuna	करुणा
karunaa	करुणा
karunik	कारुणिक
karuva	करुवा
karuvaa	करुवा
kary	कार्य
karyaalay	कार्यालय
karyaanvayan	कार्यान्वयन
karyabhaar	कार्यभार
karyabhar	कार्यभार
karyadal	कार्यदल
karyagat	कार्यगत
karyakaal	कार्यकाल
karyakaari	कार्यकारी
karyakaarii	कार्यकारी
karyakaarini	कार्यकारिणी
karyakaarinii	कार्यकारिणी
karyakaksh	कार्यकक्ष
karyakal	कार्यकाल
karyakalaap	कार्यकलाप
karyakalap	कार्यकलाप
karyakari	कार्यकारी
karyakarii	कार्यकारी
karyakarini	कार्यकारिणी
karyakarinii	कार्यकारिणी
karyakarta	कार्यकर्ता
karyakartaa	कार्यकर्ता
karyakram	कार्यक्रम
karyakshamata	कार्यक्षमता
karyakshamataa	कार्यक्षमता
karyakshetr	कार्यक्षेत्र
karyakushalata	कार्यकुशलता
karyakushalataa	कार्यकुशलता
karyalay	कार्यालय
karyaniiti	कार्यनीति
karyaniitik	कार्यनीतिक
karyaniti	कार्यनीति
karyanitik	कार्यनीतिक
karyanvayan	कार्यान्वयन
karyapatr	कार्यपत्र
karyarat	कार्यरत
karyasamiti	कार्यसमिति
karyasampaadan	कार्यसम्पादन
karyasampadan	कार्यसम्पादन
karyashaala	कार्यशाला
karyashaalaa	कार्यशाला
karyashaili	कार्यशैली
karyashailii	कार्यशैली
karyashala	कार्यशाला
karyashalaa	कार्यशाला
karyasuchi	कार्यसूची
karyasuchii	कार्यसूची
karyasuuchi	कार्यसूची
karyasuuchii	कार्यसूची
karyavaahak	कार्यवाहक
karyavahak	कार्यवाहक
karyavidhi	कार्यविधि
kas	काँस
kasaai	कसाई
kasaaii	कसाई
kasaar	कसार
kasai	कसाई
kasaigari	कसैगरी
kasaigarii	कसैगरी
kasaii	कसाई
kasaikasai	कसैकसै
kasam	कसम
kasar	कसर
kasar	कसार
kasarat	कसरत
kasari	कसरी
kasarii	कसरी
kaschh	कस्छ
kasda	कस्दा
kasdaa	कस्दा
kasdai	कस्दै
kase	कसे
kaseko	कसेको
kasht	कष्ट
kashtakar	कष्टकर
kashtaprad	कष्टप्रद
kashth	काष्ठ
kasi	कसी
kasii	कसी
kasingar	कसिङ्गर
kasi~Ngar	कसिङ्गर
kasne	कस्ने
kasnu	कस्नु
kastari	कस्तरी
kastarii	कस्तरी
kasto	कस्तो
kasturi	कस्तुरी
kasturii	कस्तुरी
kasur	कसुर
kasyo	कस्यो
kata	कता
kata	काँटा
kataa	कता
kataa	काँटा
kataaksh	कटाक्ष
kataan	कटान
katahar	कटहर
katai	कतै
kataikatai	कतैकतै
katak	कटक
katakk	कटक्क
kataksh	कटाक्ष
katan	कटन
katan	कटान
katar	काँतर
katauti	कटौती
katautii	कटौती
katchh	काट्छ
katda	काट्दा
katdaa	काट्दा
katdai	काट्दै
kate	काटे
kateko	काटेको
katero	कटेरो
kath	काठ
katha	कथा
kathaa	कथा
kathaakaar	कथाकार
kathaakar	कथाकार
kathaalo	कठालो
kathaanak	कथानक
kathaasangrah	कथासङ्ग्रह
kathaasa~Ngrah	कथासङ्ग्रह
kathaatmak	कथात्मक
kathaavastu	कथावस्तु
kathaghara	कठघरा
kathagharaa	कठघरा
kathai	कठै
kathakaar	कथाकार
kathakar	कथाकार
kathalo	कठालो
katham	कथम्
kathamaadaun	काठमाडौं
kathamadaun	काठमाडौं
kathan	कथन
kathanak	कथानक
kathaputali	कठपुतली
kathaputalii	कठपुतली
kathasangrah	कथासङ्ग्रह
kathataal	कठताल
kathatal	कठताल
kathatmak	कथात्मक
kathavastu	कथावस्तु
kathi	काठी
kathii	काठी
kathin	कठिन
kathinaai	कठिनाइ
kathinai	कठिनाइ
kathit	कथित
kathor	कठोर
kathorata	कठोरता
kathorataa	कठोरता
kaththa	कठ्ठा
kaththaa	कठ्ठा
kathy	कथ्य
kathyaangridai	कठ्याङ्ग्रिँदै
kathyaangrie	कठ्याङ्ग्रिए
kathyaangrieko	कठ्याङ्ग्रिएको
kathyaangrinchh	कठ्याङ्ग्रिन्छ
kathyaangrine	कठ्याङ्ग्रिने
kathyaangrinu	कठ्याङ्ग्रिनु
kathyaangriyo	कठ्याङ्ग्रियो
kathyangridai	कठ्याङ्ग्रिँदै
kathyangrie	कठ्याङ्ग्रिए
kathyangrieko	कठ्याङ्ग्रिएको
kathyangrinchh	कठ्याङ्ग्रिन्छ
kathyangrine	कठ्याङ्ग्रिने
kathyangrinu	कठ्याङ्ग्रिनु
kathyangriyo	कठ्याङ्ग्रियो
kati	कति
kati	काँटी
katibaddh	कटिबद्ध
katii	काँटी
katikher	कतिखेर
katipay	कतिपय
katkatidai	कट्कटिँदै
katkatie	कट्कटिए
katkatieko	कट्कटिएको
katkatinchh	कट्कटिन्छ
katkatine	कट्कटिने
katkatinu	कट्कटिनु
katkatiyo	कट्कटियो
katne	काट्ने
katnu	काट्नु
katro	कत्रो
katro	कात्रो
katta	कट्टा
kattaa	कट्टा
kattar	कट्टर
kattarapanthi	कट्टरपन्थी
kattarapanthii	कट्टरपन्थी
kattha	कट्ठा
katthaa	कट्ठा
katti	कट्टी
kattii	कट्टी
kattik	कात्तिक
kattu	कट्टु
katus	कटुस
katuta	कटुता
katutaa	कटुता
katuvaal	कटुवाल
katuval	कटुवाल
katyo	काट्यो
kauDii	कौडी
kaudi	कौडी
kaudii	कौडी
kaukuti	काउकुती
kaukutii	काउकुती
kauli	काउली
kaulii	काउली
kaunsil	काउन्सिल
kauntar	काउन्टर
kaurav	कौरव
kaushal	कौशल
kausi	कौसी
kausii	कौसी
kautuhal	कौतूहल
kautuuhal	कौतूहल
kava	कावा
kavaa	कावा
kavaaDii	कवाडी
kavaadi	कवाडी
kavaadii	कवाडी
kavaaj	कवाज
kavach	कवच
kavadi	कवाडी
kavadii	कवाडी
kavaj	कवाज
kavayitri	कवयित्री
kavayitrii	कवयित्री
kavi	कवि
kaviraaj	कविराज
kaviraj	कविराज
kavishiromaNi	कविशिरोमणि
kavishiromani	कविशिरोमणि
kavita	कविता
kavitaa	कविता
kavitaatmak	कवितात्मक
kavitatmak	कवितात्मक
kavitv	कवित्व
kavivar	कविवर
kavy	काव्य
kavyaatmak	काव्यात्मक
kavyadhaara	काव्यधारा
kavyadhaaraa	काव्यधारा
kavyadhara	काव्यधारा
kavyadharaa	काव्यधारा
kavyashaastr	काव्यशास्त्र
kavyashastr	काव्यशास्त्र
kavyatmak	काव्यात्मक
kavyik	काव्यिक
kaya	काया
kayaa	काया
kayaakalp	कायाकल्प
kayakalp	कायाकल्प
kayal	कायल
kayam	कायम
kayamamukaayam	कायममुकायम
kayamamukayam	कायममुकायम
kayar	कायर
kayauM	कयौं
kayaun	कयौं
ka~Ngaal	कङ्गाल
ka~Ngo	कङ्गो
ka~Nkaal	कङ्काल
ka~nchan	कञ्चन
ke	के
keTaakeTii	केटाकेटी
keTo	केटो
kebul	केबुल
kehi	केही
kehii	केही
keji	केजी
kejii	केजी
kek	केक
kelaae	केलाए
kelaaeko	केलाएको
kelaauchh	केलाउँछ
kelaaudai	केलाउँदै
kelaaune	केलाउने
kelaaunu	केलाउनु
kelaau~chh	केलाउँछ
kelaau~dai	केलाउँदै
kelaayo	केलायो
kelae	केलाए
kelaeko	केलाएको
kelauchh	केलाउँछ
kelaudai	केलाउँदै
kelaune	केलाउने
kelaunu	केलाउनु
kelayo	केलायो
kemikal	केमिकल
kendr	केन्द्र
kendrabindu	केन्द्रबिन्दु
kendriikRRit	केन्द्रीकृत
kendriikaraN	केन्द्रीकरण
kendriikaran	केन्द्रीकरण
kendriikrit	केन्द्रीकृत
kendriiy	केन्द्रीय
kendrikaran	केन्द्रीकरण
kendrikrit	केन्द्रीकृत
kendrit	केन्द्रित
kendriy	केन्द्रीय
kera	केरा
keraa	केरा
keraau	केराउ
kerakaar	केरकार
kerakar	केरकार
kerau	केराउ
kes	केस
kesari	केसरी
kesarii	केसरी
kesh	केश
keshar	केशर
keshari	केशरी
kesharii	केशरी
kesra	केस्रा
kesraa	केस्रा
ketaaketi	केटाकेटी
ketaaketii	केटाकेटी
ketaketi	केटाकेटी
ketaketii	केटाकेटी
keto	केटो
keval	केवल
khaDaa	खडा
khaDerii	खडेरी
khaDg	खड्ग
khaND	खण्ड
khaNDahar	खण्डहर
khaNDakaavy	खण्डकाव्य
khaNDan	खण्डन
khaNDit	खण्डित
khaaDal	खाडल
khaaDii	खाडी
khaaT	खाट
khaacho	खाँचो
khaadai	खाँदै
khaadal	खाडल
khaadi	खाडी
khaadii	खाडी
khaady	खाद्य
khaadyaann	खाद्यान्न
khaadyann	खाद्यान्न
khaae	खाए
khaaeko	खाएको
khaaja	खाजा
khaajaa	खाजा
khaal	खाल
khaalDo	खाल्डो
khaalTo	खाल्टो
khaaldo	खाल्डो
khaale	खाले
khaali	खालि
khaali	खाली
khaalii	खाली
khaalto	खाल्टो
khaam	खाम
khaana	खाना
khaanaa	खाना
khaanadaan	खानदान
khaanadan	खानदान
khaanapaan	खानपान
khaanapan	खानपान
khaanatalaasi	खानतलासी
khaanatalaasii	खानतलासी
khaanatalasi	खानतलासी
khaanatalasii	खानतलासी
khaanchh	खान्छ
khaane	खाने
khaani	खानी
khaanii	खानी
khaanu	खानु
khaapa	खापा
khaapaa	खापा
khaar	खार
khaarej	खारेज
khaareji	खारेजी
khaarejii	खारेजी
khaas	खास
khaasTo	खास्टो
khaasakhus	खासखुस
khaasto	खास्टो
khaat	खाट
khaata	खाता
khaataa	खाता
khaatir	खातिर
khaayo	खायो
khaa~cho	खाँचो
khaa~dai	खाँदै
khabar	खबर
khabaradaar	खबरदार
khabaradar	खबरदार
khachaakhach	खचाखच
khachakhach	खचाखच
khachchar	खच्चर
khacho	खाँचो
khada	खडा
khadaa	खडा
khadai	खाँदै
khadal	खाडल
khaderi	खडेरी
khaderii	खडेरी
khadg	खड्ग
khadi	खाडी
khadii	खाडी
khady	खाद्य
khadyaann	खाद्यान्न
khadyann	खाद्यान्न
khae	खाए
khaeko	खाएको
khahare	खहरे
khailaabaila	खैलाबैला
khailaabailaa	खैलाबैला
khailabaila	खैलाबैला
khailabailaa	खैलाबैला
khaini	खैनी
khainii	खैनी
khairo	खैरो
khaja	खाजा
khajaa	खाजा
khajaana	खजाना
khajaanaa	खजाना
khajana	खजाना
khajanaa	खजाना
khakaar	खकार
khakar	खकार
khal	खाल
khalaasi	खलासी
khalaasii	खलासी
khalabal	खलबल
khalak	खलक
khalal	खलल
khalanaayak	खलनायक
khalanayak	खलनायक
khalasi	खलासी
khalasii	खलासी
khaldo	खाल्डो
khale	खाले
khali	खालि
khali	खाली
khalii	खाली
khallo	खल्लो
khalti	खल्ती
khaltii	खल्ती
khalto	खाल्टो
kham	खाम
khamba	खम्बा
khambaa	खम्बा
khana	खाना
khanaa	खाना
khanadaan	खानदान
khanadan	खानदान
khanapaan	खानपान
khanapan	खानपान
khanatalaasi	खानतलासी
khanatalaasii	खानतलासी
khanatalasi	खानतलासी
khanatalasii	खानतलासी
khanchh	खान्छ
khand	खण्ड
khandahar	खण्डहर
khandakaavy	खण्डकाव्य
khandakavy	खण्डकाव्य
khandan	खण्डन
khandit	खण्डित
khane	खाने
khani	खानी
khanii	खानी
khanij	खनिज
khanu	खानु
khapa	खापा
khapaTe	खपटे
khapaa	खापा
khapat	खपत
khapate	खपटे
khapchh	खप्छ
khapda	खप्दा
